word,reading,description,source_url
議会改革推進会議,ぎかいかいかくすいしんかいぎ,"議会改革を進めるため、議会の在り方を調査研究し、他の自治体議会との交流や連携を図る組織です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議会基本条例,ぎかいきほんじょうれい,"議会の基本理念や役割、運営、議会と知事などとの関係を定める条例です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議会の招集,ぎかいのしょうしゅう,"議会を開くため、議員に参集を求める行為です。知事の権限とされています。",https://www.gijiroku.jp/mie/yougo/02_k.html
議決,ぎけつ,"表決の結果として示される、議会の意思決定です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議事堂,ぎじどう,"議場、委員会室、会議室、議員控室などを含む議会の施設全体です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議事日程,ぎじにってい,"会議の日ごとの開議日時、議題とする事件、その順序などを示す進行表です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議場,ぎじょう,"本会議を行う場所で、議長席、議席、演壇などを含みます。",https://www.gijiroku.jp/mie/yougo/02_k.html
議席,ぎせき,"本会議で議員が着席する場所です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議題,ぎだい,"会議で取り扱う案件です。議案のほか、選挙や委員長報告などを含むことがあります。",https://www.gijiroku.jp/mie/yougo/02_k.html
議長,ぎちょう,"議会を主宰し、議会を代表する者です。議員の中から選挙されます。",https://www.gijiroku.jp/mie/yougo/02_k.html
休会,きゅうかい,"会期中に本会議の活動を一日単位で休止することです。",https://www.gijiroku.jp/mie/yougo/02_k.html
休憩,きゅうけい,"会議を途中で一定時間中断することです。",https://www.gijiroku.jp/mie/yougo/02_k.html
挙手,きょしゅ,"委員会の採決などで、手を挙げて賛否を示す方法です。",https://www.gijiroku.jp/mie/yougo/02_k.html
起立,きりつ,"本会議の表決で、賛成者が立ち上がって意思を示す方法です。",https://www.gijiroku.jp/mie/yougo/02_k.html
議了,ぎりょう,"会議に付された事件の審議と議決を終えることです。",https://www.gijiroku.jp/mie/yougo/02_k.html
継続,けいぞく,"委員会が閉会中も付託された案件の審査を続けることです。",https://www.gijiroku.jp/mie/yougo/02_k.html
決議,けつぎ,"議会が機関として行う意思決定です。",https://www.gijiroku.jp/mie/yougo/02_k.html
検討会等,けんとうかいとう,"県政の課題を調査するため、議決により設置される検討会などの組織です。",https://www.gijiroku.jp/mie/yougo/02_k.html
公述人,こうじゅつにん,"公聴会で意見を述べる利害関係者や学識経験者などです。",https://www.gijiroku.jp/mie/yougo/02_k.html
公聴会,こうちょうかい,"議会外の意見を聴き、議案の審査や調査を充実させるための会です。",https://www.gijiroku.jp/mie/yougo/02_k.html
広聴広報会議,こうちょうこうほうかいぎ,"議会の広聴や広報について協議・調整する会議です。",https://www.gijiroku.jp/mie/yougo/02_k.html
採決,さいけつ,"議長や委員長が議員の賛否の意思表示を求めることです。",https://www.gijiroku.jp/mie/yougo/03_s.html
裁決,さいけつ,"賛否が同数になったとき、議長や委員長が可否を決めることです。",https://www.gijiroku.jp/mie/yougo/03_s.html
採択・不採択,さいたく・ふさいたく,"請願や陳情を肯定する議決を採択、否定する議決を不採択といいます。",https://www.gijiroku.jp/mie/yougo/03_s.html
散会,さんかい,"その日の議事日程にある事件を終え、その日の会議を閉じることです。",https://www.gijiroku.jp/mie/yougo/03_s.html
参考人,さんこうにん,"審査や調査に必要な意見を聴くため、出席を求められた者です。",https://www.gijiroku.jp/mie/yougo/03_s.html
質疑,しつぎ,"議題となっている議案などについて疑問点を問いただすことです。",https://www.gijiroku.jp/mie/yougo/03_s.html
執行機関,しっこうきかん,"議会に対して県の事務を行う知事や各種行政委員会などの機関です。",https://www.gijiroku.jp/mie/yougo/03_s.html
質問,しつもん,"県政一般について問いただすことで、議案の疑問を問う質疑とは区別されます。",https://www.gijiroku.jp/mie/yougo/03_s.html
質問及び質疑の趣旨確認,しつもんおよびしつぎのしゅしかくにん,"答弁を的確にするため、議長の許可を得て質問や質疑の趣旨を確認することです。",https://www.gijiroku.jp/mie/yougo/03_s.html
上程,じょうてい,"本会議で案件を議題として取り扱うことです。",https://www.gijiroku.jp/mie/yougo/03_s.html
承認・不承認,しょうにん・ふしょうにん,"専決処分承認議案などについて、可とする議決を承認、否とする議決を不承認といいます。",https://www.gijiroku.jp/mie/yougo/03_s.html
常任委員会,じょうにんいいんかい,"常設の委員会で、付託された議案の審査や県の事務の調査を分担して行います。",https://www.gijiroku.jp/mie/yougo/03_s.html
審議,しんぎ,"説明を聞き、質疑、討論、表決を行うまでの一連の過程です。",https://www.gijiroku.jp/mie/yougo/03_s.html
審査,しんさ,"委員会で議案や請願などを質疑・討論し、結論を出す過程です。",https://www.gijiroku.jp/mie/yougo/03_s.html
人事案件,じんじあんけん,"副知事や監査委員などの選任・任命について、議会の同意を得るための案件です。",https://www.gijiroku.jp/mie/yougo/03_s.html
人事委員会の意見,じんじいいんかいのいけん,"職員に関する条例を制定・改廃するときなどに聴く人事委員会の意見です。",https://www.gijiroku.jp/mie/yougo/03_s.html
請願,せいがん,"国や地方公共団体に対して一定の希望を述べる制度で、県議会へは議員の紹介で請願書を提出します。",https://www.gijiroku.jp/mie/yougo/03_s.html
説明のための出席要求,せつめいのためのしゅっせきようきゅう,"議案の説明などのため、知事や教育委員会などの関係者に出席を求めることです。",https://www.gijiroku.jp/mie/yougo/03_s.html
全員協議会,ぜんいんきょうぎかい,"県政の課題や議会運営について、全議員で協議・調整する会議です。",https://www.gijiroku.jp/mie/yougo/03_s.html
全会一致,ぜんかいいっち,"出席した議員全員の意思が一致することです。",https://www.gijiroku.jp/mie/yougo/03_s.html
先議,せんぎ,"予定された採決日や閉会日を待たず、会期途中で議決することです。",https://www.gijiroku.jp/mie/yougo/03_s.html
専決処分,せんけつしょぶん,"議会の議決が必要な事項を、緊急時などに知事が代わって決定し、後で議会に報告・承認を求める制度です。",https://www.gijiroku.jp/mie/yougo/03_s.html
代表質問,だいひょうしつもん,"会派を代表する議員が本会議で県政について行う質問です。",https://www.gijiroku.jp/mie/yougo/04_t.html
代表者会議,だいひょうしゃかいぎ,"議長、副議長、会派の代表者などが協議・調整を行う会議です。",https://www.gijiroku.jp/mie/yougo/04_t.html
対面演壇方式,たいめんえんだんほうしき,"議長席前の演壇と議員席側の演壇を向かい合わせて設置する方式です。",https://www.gijiroku.jp/mie/yougo/04_t.html
多数,たすう,"議会の議決を出席議員の過半数で決すること、または起立者が過半数であることを示します。",https://www.gijiroku.jp/mie/yougo/04_t.html
直ちに採決,ただちにさいけつ,"議案の説明、質疑、委員会付託、委員長報告などを省略して採決することです。",https://www.gijiroku.jp/mie/yougo/04_t.html
調査,ちょうさ,"委員会が付託された議案や請願、所管事務などを調べることです。",https://www.gijiroku.jp/mie/yougo/04_t.html
調査機関,ちょうさきかん,"県政の課題を調査するため、議決により設置される機関です。",https://www.gijiroku.jp/mie/yougo/04_t.html
陳情,ちんじょう,"住民が特定の事項について実情を訴え、適切な措置を要望することです。請願と異なり議員の紹介を要しません。",https://www.gijiroku.jp/mie/yougo/04_t.html
通年議会,つうねんぎかい,"議会の会期を毎年1月から12月までとする制度です。",https://www.gijiroku.jp/mie/yougo/04_t.html
提案説明,ていあんせつめい,"議案の提出者が、提出理由や内容を説明することです。",https://www.gijiroku.jp/mie/yougo/04_t.html
定刻,ていこく,"本会議を開く時刻として定められた時刻です。",https://www.gijiroku.jp/mie/yougo/04_t.html
定足数,ていそくすう,"会議を開き議事を行うために必要な出席議員数です。",https://www.gijiroku.jp/mie/yougo/04_t.html
定例会,ていれいかい,"定期的に開催する議会です。",https://www.gijiroku.jp/mie/yougo/04_t.html
同意・不同意,どうい・ふどうい,"人事案件などについて、可とする議決を同意、否とする議決を不同意といいます。",https://www.gijiroku.jp/mie/yougo/04_t.html
動議,どうぎ,"会議中に議員が議事の進行や案件の扱いについて提案することです。",https://www.gijiroku.jp/mie/yougo/04_t.html
当局,とうきょく,"議会の質問や質疑に答弁する知事部局など、執行機関側を指します。",https://www.gijiroku.jp/mie/yougo/04_t.html
答弁,とうべん,"質問や質疑に対して、当局が回答することです。",https://www.gijiroku.jp/mie/yougo/04_t.html
討論,とうろん,"表決の前に、議題に対する賛成または反対の意見を述べることです。",https://www.gijiroku.jp/mie/yougo/04_t.html
特別委員会,とくべついいんかい,"特定の案件を審査・調査するために設置する委員会です。",https://www.gijiroku.jp/mie/yougo/04_t.html
二元代表制,にげんだいひょうせい,"首長と議会議員を住民が直接選び、相互の抑制と均衡で自治体を運営する制度です。",https://www.gijiroku.jp/mie/yougo/05_n.html
認定・不認定,にんてい・ふにんてい,"決算認定議案を可とする議決を認定、否とする議決を不認定といいます。",https://www.gijiroku.jp/mie/yougo/05_n.html
諮る,はかる,"議題を示して、議会の意思を問い、意見や採決を求めることです。",https://www.gijiroku.jp/mie/yougo/06_h.html
発議,はつぎ,"議員または委員会が議案を発案し、議会に提出することです。",https://www.gijiroku.jp/mie/yougo/06_h.html
発言,はつげん,"会議で議員などが意見や内容を言葉で述べることです。",https://www.gijiroku.jp/mie/yougo/06_h.html
発言通告,はつげんつうこく,"会議で発言する者が、あらかじめ発言内容を届け出ることです。",https://www.gijiroku.jp/mie/yougo/06_h.html
表決,ひょうけつ,"議案などに対して、議員が賛成または反対の意思を表すことです。",https://www.gijiroku.jp/mie/yougo/06_h.html
付議,ふぎ,"議案や事件を会議の議題に付すことです。",https://www.gijiroku.jp/mie/yougo/06_h.html
付託,ふたく,"議案や請願などを所管の委員会に送り、審査を任せることです。",https://www.gijiroku.jp/mie/yougo/06_h.html
分科会,ぶんかかい,"委員会の案件を分担して審査・調査するための小単位の会議です。",https://www.gijiroku.jp/mie/yougo/06_h.html
分割質問,ぶんかつしつもん,"複数の質問項目を分けて質問し、それぞれ答弁を求める方式です。",https://www.gijiroku.jp/mie/yougo/06_h.html
文書による質問,ぶんしょによるしつもん,"議員が質問事項を文書で提出し、文書による回答を求めることです。",https://www.gijiroku.jp/mie/yougo/06_h.html
閉会,へいかい,"会期を終えて議会を閉じることです。",https://www.gijiroku.jp/mie/yougo/06_h.html
閉会中の継続審査・調査,へいかいちゅうのけいぞくしんさ・ちょうさ,"閉会後も委員会が案件の審査や調査を続けることです。",https://www.gijiroku.jp/mie/yougo/06_h.html
傍聴規則,ぼうちょうきそく,"議会の会議を傍聴するための手続や守るべき事項を定める規則です。",https://www.gijiroku.jp/mie/yougo/06_h.html
傍聴席,ぼうちょうせき,"議会の会議を傍聴する人のために設けられた席です。",https://www.gijiroku.jp/mie/yougo/06_h.html
本会議,ほんかいぎ,"全議員で構成され、議案の審議や議決などを行う正式な会議です。",https://www.gijiroku.jp/mie/yougo/06_h.html
予算決算常任委員会,よさんけっさんじょうにんいいんかい,"予算や決算に関する議案を審査する常任委員会です。",https://www.gijiroku.jp/mie/yougo/08_y.html
理事会,りじかい,"委員会などの運営について、理事が協議・調整する会議です。",https://www.gijiroku.jp/mie/yougo/09_r.html
臨時会,りんじかい,"定例会とは別に、必要な事件があるときに臨時に招集する議会です。",https://www.gijiroku.jp/mie/yougo/09_r.html
臨時議長,りんじぎちょう,"議長や副議長が職務を行えない場合などに、一時的に議長の職務を行う者です。",https://www.gijiroku.jp/mie/yougo/09_r.html
例月出納検査報告,れいげつすいとうけんさほうこく,"毎月行う出納検査の結果を議会に報告するものです。",https://www.gijiroku.jp/mie/yougo/09_r.html
連合審査,れんごうしんさ,"複数の委員会が関係する案件を合同で審査することです。",https://www.gijiroku.jp/mie/yougo/09_r.html
